run,step,side,T,J,seed,e_per_spin,m_per_spin
1,212,10,1.5,1.0,11,-0.252,0.0
1,213,10,1.5,1.0,11,-0.248,0.002
1,214,10,1.5,1.0,11,-0.248,0.0
1,215,10,1.5,1.0,11,-0.256,0.002
1,216,10,1.5,1.0,11,-0.256,0.0
1,217,10,1.5,1.0,11,-0.256,0.0
1,218,10,1.5,1.0,11,-0.26,0.002
1,219,10,1.5,1.0,11,-0.26,0.002
1,220,10,1.5,1.0,11,-0.26,0.002
1,221,10,1.5,1.0,11,-0.26,0.004
1,222,10,1.5,1.0,11,-0.26,0.004
1,223,10,1.5,1.0,11,-0.272,0.006
1,224,10,1.5,1.0,11,-0.272,0.004
1,225,10,1.5,1.0,11,-0.276,0.002
1,226,10,1.5,1.0,11,-0.276,0.002
1,227,10,1.5,1.0,11,-0.276,0.0
1,228,10,1.5,1.0,11,-0.276,0.002
1,229,10,1.5,1.0,11,-0.276,0.002
1,230,10,1.5,1.0,11,-0.276,0.002
1,231,10,1.5,1.0,11,-0.276,0.002
1,232,10,1.5,1.0,11,-0.288,0.0
1,233,10,1.5,1.0,11,-0.288,-0.002
1,234,10,1.5,1.0,11,-0.288,-0.002
1,235,10,1.5,1.0,11,-0.288,-0.002
1,236,10,1.5,1.0,11,-0.288,-0.002
1,237,10,1.5,1.0,11,-0.288,-0.002
1,238,10,1.5,1.0,11,-0.288,0.0
1,239,10,1.5,1.0,11,-0.292,-0.002
1,240,10,1.5,1.0,11,-0.292,-0.004
1,241,10,1.5,1.0,11,-0.288,-0.006
1,242,10,1.5,1.0,11,-0.288,-0.008
1,243,10,1.5,1.0,11,-0.288,-0.01
1,244,10,1.5,1.0,11,-0.288,-0.008
1,245,10,1.5,1.0,11,-0.288,-0.006
1,246,10,1.5,1.0,11,-0.288,-0.004
1,247,10,1.5,1.0,11,-0.292,-0.002
1,248,10,1.5,1.0,11,-0.292,-0.002
1,249,10,1.5,1.0,11,-0.292,-0.002
1,250,10,1.5,1.0,11,-0.292,-0.002
1,251,10,1.5,1.0,11,-0.292,-0.002
1,252,10,1.5,1.0,11,-0.296,0.0
1,253,10,1.5,1.0,11,-0.3,-0.002
1,254,10,1.5,1.0,11,-0.3,-0.002
1,255,10,1.5,1.0,11,-0.3,0.0
1,256,10,1.5,1.0,11,-0.3,0.002
1,257,10,1.5,1.0,11,-0.3,0.002
1,258,10,1.5,1.0,11,-0.3,0.002
1,259,10,1.5,1.0,11,-0.3,0.002
1,260,10,1.5,1.0,11,-0.304,0.0
1,261,10,1.5,1.0,11,-0.304,0.0
1,262,10,1.5,1.0,11,-0.304,0.002
1,263,10,1.5,1.0,11,-0.304,0.002
1,264,10,1.5,1.0,11,-0.304,0.002
1,265,10,1.5,1.0,11,-0.304,0.002
1,266,10,1.5,1.0,11,-0.304,0.002
1,267,10,1.5,1.0,11,-0.304,0.002
1,268,10,1.5,1.0,11,-0.304,0.002
1,269,10,1.5,1.0,11,-0.308,0.004
1,270,10,1.5,1.0,11,-0.308,0.004
1,271,10,1.5,1.0,11,-0.308,0.004
1,272,10,1.5,1.0,11,-0.308,0.006
1,273,10,1.5,1.0,11,-0.308,0.008
1,274,10,1.5,1.0,11,-0.308,0.006
1,275,10,1.5,1.0,11,-0.312,0.008
1,276,10,1.5,1.0,11,-0.32,0.006
1,277,10,1.5,1.0,11,-0.324,0.008
1,278,10,1.5,1.0,11,-0.324,0.01
1,279,10,1.5,1.0,11,-0.324,0.01
1,280,10,1.5,1.0,11,-0.324,0.008
1,281,10,1.5,1.0,11,-0.328,0.006
1,282,10,1.5,1.0,11,-0.328,0.006
1,283,10,1.5,1.0,11,-0.328,0.006
1,284,10,1.5,1.0,11,-0.328,0.006
1,285,10,1.5,1.0,11,-0.328,0.004
1,286,10,1.5,1.0,11,-0.328,0.002
1,287,10,1.5,1.0,11,-0.328,0.004
1,288,10,1.5,1.0,11,-0.336,0.006
1,289,10,1.5,1.0,11,-0.336,0.006
1,290,10,1.5,1.0,11,-0.336,0.004
1,291,10,1.5,1.0,11,-0.336,0.002
1,292,10,1.5,1.0,11,-0.336,0.0
1,293,10,1.5,1.0,11,-0.34,-0.002
1,294,10,1.5,1.0,11,-0.344,-0.004
1,295,10,1.5,1.0,11,-0.344,-0.004
1,296,10,1.5,1.0,11,-0.344,-0.004
1,297,10,1.5,1.0,11,-0.344,-0.004
1,298,10,1.5,1.0,11,-0.348,-0.002
1,299,10,1.5,1.0,11,-0.348,-0.004
1,300,10,1.5,1.0,11,-0.348,-0.004
1,301,10,1.5,1.0,11,-0.352,-0.006
1,302,10,1.5,1.0,11,-0.352,-0.004
1,303,10,1.5,1.0,11,-0.352,-0.004
1,304,10,1.5,1.0,11,-0.352,-0.002
1,305,10,1.5,1.0,11,-0.352,0.0
1,306,10,1.5,1.0,11,-0.352,0.0
1,307,10,1.5,1.0,11,-0.352,-0.002
1,308,10,1.5,1.0,11,-0.352,-0.002
1,309,10,1.5,1.0,11,-0.352,0.0
1,310,10,1.5,1.0,11,-0.356,-0.002
1,311,10,1.5,1.0,11,-0.356,0.0
1,312,10,1.5,1.0,11,-0.352,-0.002
1,313,10,1.5,1.0,11,-0.352,0.0
1,314,10,1.5,1.0,11,-0.352,0.0
1,315,10,1.5,1.0,11,-0.352,0.002
1,316,10,1.5,1.0,11,-0.352,0.0
1,317,10,1.5,1.0,11,-0.352,0.0
1,318,10,1.5,1.0,11,-0.352,0.0
1,319,10,1.5,1.0,11,-0.356,-0.002
1,320,10,1.5,1.0,11,-0.356,0.0
1,321,10,1.5,1.0,11,-0.356,0.002
1,322,10,1.5,1.0,11,-0.36,0.004
1,323,10,1.5,1.0,11,-0.36,0.002
1,324,10,1.5,1.0,11,-0.36,0.002
1,325,10,1.5,1.0,11,-0.368,0.0
1,326,10,1.5,1.0,11,-0.372,-0.002
1,327,10,1.5,1.0,11,-0.372,0.0
1,328,10,1.5,1.0,11,-0.372,0.0
1,329,10,1.5,1.0,11,-0.372,0.002
1,330,10,1.5,1.0,11,-0.38,0.004
1,331,10,1.5,1.0,11,-0.38,0.006
1,332,10,1.5,1.0,11,-0.38,0.008
1,333,10,1.5,1.0,11,-0.38,0.01
1,334,10,1.5,1.0,11,-0.388,0.012
1,335,10,1.5,1.0,11,-0.388,0.012
1,336,10,1.5,1.0,11,-0.392,0.01
1,337,10,1.5,1.0,11,-0.396,0.008
1,338,10,1.5,1.0,11,-0.396,0.006
1,339,10,1.5,1.0,11,-0.404,0.004
1,340,10,1.5,1.0,11,-0.412,0.006
1,341,10,1.5,1.0,11,-0.412,0.006
1,342,10,1.5,1.0,11,-0.412,0.004
1,343,10,1.5,1.0,11,-0.42,0.002
1,344,10,1.5,1.0,11,-0.42,0.002
1,345,10,1.5,1.0,11,-0.424,0.004
1,346,10,1.5,1.0,11,-0.424,0.004
1,347,10,1.5,1.0,11,-0.424,0.004
1,348,10,1.5,1.0,11,-0.424,0.004
1,349,10,1.5,1.0,11,-0.424,0.004
1,350,10,1.5,1.0,11,-0.424,0.004
1,351,10,1.5,1.0,11,-0.424,0.002
1,352,10,1.5,1.0,11,-0.424,0.004
1,353,10,1.5,1.0,11,-0.428,0.002
1,354,10,1.5,1.0,11,-0.432,0.004
1,355,10,1.5,1.0,11,-0.44,0.002
1,356,10,1.5,1.0,11,-0.44,0.002
1,357,10,1.5,1.0,11,-0.44,0.002
1,358,10,1.5,1.0,11,-0.44,0.002
1,359,10,1.5,1.0,11,-0.44,0.0
1,360,10,1.5,1.0,11,-0.444,0.002
1,361,10,1.5,1.0,11,-0.444,0.002
1,362,10,1.5,1.0,11,-0.444,0.002
1,363,10,1.5,1.0,11,-0.444,0.002
1,364,10,1.5,1.0,11,-0.444,0.0
1,365,10,1.5,1.0,11,-0.444,0.0
1,366,10,1.5,1.0,11,-0.448,-0.002
1,367,10,1.5,1.0,11,-0.448,-0.002
1,368,10,1.5,1.0,11,-0.456,-0.004
1,369,10,1.5,1.0,11,-0.456,-0.004
1,370,10,1.5,1.0,11,-0.456,-0.004
1,371,10,1.5,1.0,11,-0.456,-0.002
1,372,10,1.5,1.0,11,-0.456,-0.004
1,373,10,1.5,1.0,11,-0.46,-0.002
1,374,10,1.5,1.0,11,-0.464,-0.004
1,375,10,1.5,1.0,11,-0.464,-0.004
1,376,10,1.5,1.0,11,-0.464,-0.004
1,377,10,1.5,1.0,11,-0.468,-0.006
1,378,10,1.5,1.0,11,-0.468,-0.006
1,379,10,1.5,1.0,11,-0.468,-0.006
1,380,10,1.5,1.0,11,-0.468,-0.006
1,381,10,1.5,1.0,11,-0.468,-0.004
1,382,10,1.5,1.0,11,-0.468,-0.002
1,383,10,1.5,1.0,11,-0.472,-0.004
1,384,10,1.5,1.0,11,-0.472,-0.002
